age,sex,race,priors_count,c_charge_degree,two_year_recid
69,Male,Other,0,F,0
34,Male,African-American,0,F,1
24,Male,African-American,4,F,1
23,Male,African-American,1,F,0
43,Male,Other,2,F,0
44,Male,Other,0,M,0
41,Male,Caucasian,14,F,1
43,Male,Other,3,F,0
39,Female,Caucasian,0,M,0
21,Male,Caucasian,1,F,1
27,Male,Caucasian,0,F,0
23,Male,African-American,3,M,1
37,Female,Caucasian,0,M,0
41,Male,African-American,0,F,0
47,Female,Caucasian,1,F,1
31,Male,African-American,7,F,1
37,Male,Hispanic,0,M,0
25,Male,African-American,3,F,0
31,Male,Caucasian,6,F,1
31,Male,Caucasian,5,F,1
64,Male,African-American,13,F,1
21,Male,African-American,1,F,1
27,Male,Caucasian,0,M,1
21,Female,Caucasian,0,F,0
24,Male,Hispanic,1,F,1
43,Male,Caucasian,1,M,0
32,Male,Other,0,M,0
27,Male,African-American,8,F,1
36,Female,Caucasian,3,F,0
26,Male,African-American,5,F,1
33,Male,African-American,0,F,1
30,Male,Caucasian,9,F,1
32,Male,African-American,4,F,1
55,Male,Caucasian,0,F,0
49,Male,Other,7,F,1
26,Male,Caucasian,6,M,0
33,Female,Caucasian,4,M,1
24,Male,Caucasian,1,M,1
34,Male,African-American,21,F,1
29,Male,Caucasian,0,M,0
21,Female,African-American,2,F,0
51,Male,African-American,2,M,0
29,Male,Caucasian,2,M,1
51,Female,African-American,7,F,0
29,Male,African-American,0,F,1
25,Male,Caucasian,9,M,1
35,Male,African-American,13,F,1
49,Male,Caucasian,0,M,0
34,Male,African-American,4,M,1
29,Male,African-American,0,F,0
29,Male,Caucasian,1,F,1
28,Female,Other,0,F,0
48,Male,Caucasian,20,F,1
63,Female,Hispanic,1,F,0
31,Male,African-American,15,F,0
24,Male,African-American,2,F,1
30,Male,Hispanic,0,M,0
49,Male,African-American,4,M,0
53,Male,Caucasian,8,F,0
35,Male,African-American,5,F,0
63,Male,African-American,10,M,1
27,Male,African-American,15,F,1
38,Male,Caucasian,4,M,1
22,Male,African-American,1,F,1
22,Male,African-American,2,F,1
29,Male,African-American,4,F,1
62,Male,Hispanic,0,M,0
27,Male,African-American,6,F,1
33,Male,Other,0,M,0
56,Female,African-American,0,M,0
45,Male,Hispanic,6,F,1
22,Male,Hispanic,1,F,0
39,Male,African-American,1,M,0
29,Male,African-American,5,F,1
27,Male,Caucasian,1,F,1
40,Male,African-American,2,F,0
22,Male,African-American,1,M,1
22,Male,Caucasian,0,F,0
26,Female,African-American,1,F,1
27,Male,Caucasian,1,F,1
32,Male,African-American,0,F,0
41,Male,African-American,1,M,0
30,Male,African-American,8,M,1
50,Male,Other,0,F,1
25,Male,African-American,14,F,1
20,Male,Other,0,F,1
22,Male,African-American,2,F,1
23,Male,African-American,2,M,1
35,Female,African-American,1,M,0
36,Male,African-American,9,F,1
26,Male,Caucasian,7,F,1
21,Male,Other,1,F,1
25,Male,Caucasian,9,F,1
71,Male,African-American,12,M,0
20,Female,Caucasian,0,F,0
39,Male,Caucasian,2,F,1
66,Male,Caucasian,3,F,0
54,Female,Caucasian,0,M,0
44,Female,Hispanic,0,M,0
19,Male,African-American,1,M,1
24,Male,African-American,1,F,0
30,Male,African-American,1,F,0
39,Female,Caucasian,0,F,1
24,Male,Caucasian,8,F,1
30,Male,Caucasian,0,F,0
31,Male,Caucasian,0,M,0
39,Female,Caucasian,1,F,0
59,Male,African-American,14,F,1
43,Male,Caucasian,1,F,0
21,Male,African-American,3,F,1
38,Male,Caucasian,5,M,1
34,Male,Caucasian,0,F,0
33,Male,African-American,5,F,1
37,Male,African-American,3,F,0
